epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.73643,1.80337,3.8245,1.48091,0.02628,0.96511,0.15546,0.07782,1.39082,3.43288,1.06244,0.000234338,0.000234338,0.000234338
2,18.2301,1.64186,2.48144,1.29777,0.45449,0.633,0.54414,0.27393,1.62053,1.93373,1.1979,0.000467662,0.000467662,0.000467662
3,26.5449,1.5653,1.78505,1.27396,0.86309,0.76039,0.90615,0.53533,1.3999,1.18164,1.19283,0.000696274,0.000696274,0.000696274
4,34.7866,1.53259,1.48433,1.28457,0.89467,0.84505,0.95155,0.65722,1.08721,1.007,1.07105,0.000692794,0.000692794,0.000692794
5,43.0071,1.51617,1.32102,1.27523,0.93604,0.92965,0.97053,0.62214,1.2585,0.84166,1.11341,0.000685726,0.000685726,0.000685726
6,51.2674,1.47212,1.25871,1.25815,0.88165,0.90747,0.96496,0.60782,1.29976,0.90191,1.12981,0.000678657,0.000678657,0.000678657
7,59.5218,1.45401,1.1785,1.23543,0.94954,0.92295,0.97771,0.61494,1.31674,0.82409,1.13755,0.000671588,0.000671588,0.000671588
8,67.7773,1.42938,1.12182,1.22319,0.96541,0.93953,0.98216,0.61949,1.28735,0.72095,1.11713,0.00066452,0.00066452,0.00066452
9,75.9945,1.39726,1.06839,1.21866,0.97561,0.94721,0.98819,0.63561,1.27082,0.68716,1.12104,0.000657451,0.000657451,0.000657451
10,84.2004,1.35455,1.01278,1.19588,0.97846,0.94931,0.98676,0.66546,1.18734,0.68618,1.08075,0.000650383,0.000650383,0.000650383
11,92.4287,1.36811,1.01543,1.20304,0.96013,0.97158,0.9816,0.59518,1.35426,0.68449,1.12741,0.000643314,0.000643314,0.000643314
12,100.647,1.37715,0.98645,1.20758,0.97021,0.95612,0.98527,0.70076,1.01833,0.62829,1.02323,0.000636245,0.000636245,0.000636245
13,108.844,1.35782,0.94994,1.19305,0.98261,0.96516,0.991,0.64105,1.22863,0.62489,1.10027,0.000629177,0.000629177,0.000629177
14,117.049,1.33742,0.9335,1.18401,0.97741,0.97289,0.99204,0.6578,1.21395,0.61742,1.08498,0.000622108,0.000622108,0.000622108
15,125.301,1.31579,0.91348,1.18157,0.97128,0.9758,0.99216,0.69902,1.10227,0.60093,1.04979,0.00061504,0.00061504,0.00061504
16,133.487,1.28626,0.87056,1.16614,0.98126,0.97234,0.99195,0.57019,1.49455,0.6467,1.19341,0.000607971,0.000607971,0.000607971
17,141.705,1.31055,0.86451,1.17409,0.97483,0.95923,0.98945,0.58756,1.4162,0.6243,1.1387,0.000600902,0.000600902,0.000600902
