epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5962,2.22044,2.50094,1.35554,0.66428,0.52766,0.59542,0.27529,1.86496,1.47661,1.26034,0.000237455,0.000237455,0.000237455
2,127.511,1.91416,1.66282,1.22961,0.75496,0.59392,0.69641,0.32133,1.83313,1.30143,1.27966,0.000466041,0.000466041,0.000466041
3,186.718,1.88971,1.50328,1.22777,0.75141,0.63054,0.72767,0.33679,1.8083,1.27348,1.27809,0.000685203,0.000685203,0.000685203
4,246.969,1.84277,1.40398,1.21479,0.75935,0.64216,0.73886,0.35091,1.79061,1.20874,1.24501,0.000671588,0.000671588,0.000671588
5,308.376,1.83804,1.32909,1.19688,0.80498,0.6739,0.76876,0.36643,1.7914,1.14406,1.24765,0.000657451,0.000657451,0.000657451
6,367.504,1.81589,1.2831,1.18278,0.80492,0.6891,0.7861,0.37436,1.75722,1.11107,1.23977,0.000643314,0.000643314,0.000643314
7,428.15,1.8138,1.2654,1.17566,0.79512,0.71035,0.7949,0.38428,1.75847,1.11069,1.24194,0.000629177,0.000629177,0.000629177
8,487.495,1.80089,1.21544,1.16686,0.80738,0.72769,0.80851,0.3917,1.76031,1.04965,1.22788,0.00061504,0.00061504,0.00061504
9,546.269,1.78434,1.20185,1.16244,0.8403,0.7074,0.81586,0.3978,1.73718,1.0382,1.20386,0.000600902,0.000600902,0.000600902
10,605.672,1.77325,1.15245,1.15747,0.81932,0.73452,0.81774,0.39575,1.7536,1.0111,1.21694,0.000586765,0.000586765,0.000586765
11,665.785,1.76493,1.1542,1.15128,0.82761,0.7356,0.8285,0.40248,1.7319,1.01886,1.19923,0.000572628,0.000572628,0.000572628
12,727.358,1.75634,1.13639,1.14598,0.83638,0.74276,0.83039,0.40855,1.73253,0.99916,1.20545,0.000558491,0.000558491,0.000558491
13,789.236,1.77028,1.12703,1.15359,0.84092,0.73931,0.83126,0.40912,1.72588,0.98837,1.19715,0.000544354,0.000544354,0.000544354
14,851.481,1.76207,1.10303,1.14067,0.84125,0.75636,0.83904,0.4094,1.73356,0.96972,1.19779,0.000530216,0.000530216,0.000530216
15,913.292,1.75793,1.08629,1.14374,0.83177,0.75702,0.84198,0.415,1.72517,0.9579,1.1922,0.000516079,0.000516079,0.000516079
16,972.964,1.73902,1.07529,1.13544,0.84931,0.75786,0.84878,0.41643,1.73329,0.94149,1.20279,0.000501942,0.000501942,0.000501942
17,1033,1.74392,1.06302,1.13498,0.85244,0.75716,0.85179,0.42385,1.72451,0.91747,1.19462,0.000487805,0.000487805,0.000487805
18,1092.53,1.72448,1.05697,1.14232,0.85138,0.77077,0.85572,0.42331,1.71444,0.91277,1.18789,0.000473668,0.000473668,0.000473668
19,1153.09,1.73076,1.04956,1.12857,0.85496,0.77098,0.85615,0.42292,1.71554,0.92584,1.18145,0.00045953,0.00045953,0.00045953
20,1212.68,1.73802,1.04121,1.13394,0.84353,0.7881,0.86382,0.43023,1.70799,0.90113,1.18888,0.000445393,0.000445393,0.000445393
21,1272.01,1.72722,1.036,1.1311,0.85282,0.78665,0.86826,0.42884,1.70759,0.90615,1.18678,0.000431256,0.000431256,0.000431256
22,1330.99,1.72626,1.02614,1.1303,0.85193,0.77327,0.86404,0.43031,1.7056,0.8901,1.1829,0.000417119,0.000417119,0.000417119
23,1390.45,1.7133,1.01988,1.1256,0.86662,0.78877,0.86678,0.43158,1.70991,0.88603,1.18651,0.000402982,0.000402982,0.000402982
24,1450.68,1.71254,1.00009,1.12133,0.86681,0.78068,0.86819,0.43316,1.69709,0.89594,1.17871,0.000388844,0.000388844,0.000388844
25,1509.9,1.71657,1.00952,1.12362,0.85492,0.78931,0.86658,0.43108,1.69946,0.89567,1.17726,0.000374707,0.000374707,0.000374707
26,1568.93,1.70395,0.98557,1.12019,0.86231,0.7864,0.86611,0.4324,1.7041,0.89078,1.18208,0.00036057,0.00036057,0.00036057
27,1628.9,1.70774,0.98404,1.12265,0.85322,0.78395,0.86783,0.4353,1.69926,0.87666,1.17406,0.000346433,0.000346433,0.000346433
28,1688.51,1.6962,0.97755,1.11943,0.86228,0.79688,0.86972,0.43603,1.70016,0.86417,1.17732,0.000332296,0.000332296,0.000332296
29,1747.38,1.69761,0.96575,1.1167,0.8632,0.79844,0.8744,0.43683,1.70182,0.85853,1.17733,0.000318158,0.000318158,0.000318158
30,1806.31,1.69602,0.96256,1.12208,0.8592,0.80297,0.87327,0.43628,1.69825,0.85714,1.1771,0.000304021,0.000304021,0.000304021
31,1865.44,1.69416,0.95801,1.11397,0.86006,0.80487,0.87725,0.43969,1.6998,0.84151,1.17506,0.000289884,0.000289884,0.000289884
32,1925.27,1.68107,0.95153,1.11064,0.87359,0.80531,0.88046,0.44349,1.69765,0.84444,1.16892,0.000275747,0.000275747,0.000275747
33,1984.73,1.68719,0.94042,1.11605,0.86614,0.79975,0.87618,0.43975,1.69876,0.84024,1.17483,0.00026161,0.00026161,0.00026161
34,2043.45,1.69133,0.93958,1.11225,0.86627,0.80578,0.88048,0.44081,1.69103,0.84243,1.17532,0.000247472,0.000247472,0.000247472
35,2102.24,1.6828,0.93352,1.10629,0.86855,0.80172,0.87393,0.43861,1.69576,0.83903,1.17377,0.000233335,0.000233335,0.000233335
36,2160.92,1.68229,0.93741,1.11385,0.87108,0.80882,0.88119,0.44413,1.69899,0.83221,1.17297,0.000219198,0.000219198,0.000219198
37,2219.54,1.67303,0.91959,1.11126,0.87072,0.80747,0.88003,0.44452,1.69615,0.82885,1.17808,0.000205061,0.000205061,0.000205061
38,2279.04,1.67065,0.91515,1.1092,0.86739,0.8061,0.88124,0.44405,1.69182,0.82996,1.17507,0.000190924,0.000190924,0.000190924
39,2339.98,1.666,0.91947,1.10591,0.8632,0.81653,0.88058,0.44503,1.696,0.82092,1.1706,0.000176786,0.000176786,0.000176786
40,2399.95,1.67068,0.91307,1.10173,0.86731,0.81443,0.88533,0.44834,1.69103,0.81659,1.17182,0.000162649,0.000162649,0.000162649
41,2479.98,1.65902,0.82025,1.14872,0.86694,0.82494,0.88686,0.44735,1.69029,0.81779,1.1706,0.000148512,0.000148512,0.000148512
42,2538.33,1.65366,0.81465,1.13875,0.87253,0.81873,0.88777,0.44948,1.69089,0.81651,1.16643,0.000134375,0.000134375,0.000134375
43,2596.99,1.65206,0.80789,1.14324,0.86646,0.82794,0.88733,0.45006,1.69176,0.81024,1.17284,0.000120238,0.000120238,0.000120238
44,2655.85,1.64484,0.79194,1.14806,0.87881,0.82128,0.8903,0.4518,1.68939,0.81106,1.17041,0.0001061,0.0001061,0.0001061
45,2715.48,1.64326,0.79368,1.14056,0.87159,0.8343,0.8904,0.45114,1.68385,0.80684,1.16931,9.19632e-05,9.19632e-05,9.19632e-05
46,2774.39,1.64378,0.79347,1.13946,0.88111,0.82361,0.89037,0.45232,1.68945,0.7958,1.17315,7.7826e-05,7.7826e-05,7.7826e-05
47,2833.04,1.63861,0.77664,1.13944,0.87865,0.8288,0.8933,0.4533,1.68895,0.79271,1.17252,6.36888e-05,6.36888e-05,6.36888e-05
48,2891.36,1.63426,0.77809,1.13915,0.87434,0.83046,0.89301,0.45289,1.68768,0.79493,1.17092,4.95516e-05,4.95516e-05,4.95516e-05
49,2949.84,1.63177,0.77061,1.13795,0.87965,0.83056,0.89435,0.45367,1.68788,0.79295,1.16895,3.54144e-05,3.54144e-05,3.54144e-05
50,3008.53,1.62832,0.77321,1.13468,0.88365,0.82583,0.89397,0.45352,1.68827,0.79111,1.17031,2.12772e-05,2.12772e-05,2.12772e-05
