epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.60137,1.83747,1.97007,1.71263,0.75964,0.55063,0.64724,0.30748,1.83302,1.39763,1.87546,0.000232936,0.000232936,0.000232936
2,14.2059,1.72276,1.57795,1.64882,0.77669,0.67653,0.74839,0.36724,1.81945,1.21207,1.86651,0.000461612,0.000461612,0.000461612
3,20.6068,1.73118,1.48363,1.63018,0.73913,0.72599,0.78352,0.40131,1.81,1.12269,1.85265,0.000680862,0.000680862,0.000680862
4,27.0235,1.7306,1.40225,1.63595,0.8383,0.65022,0.78894,0.39454,1.82979,1.16601,1.87686,0.000671588,0.000671588,0.000671588
5,33.343,1.71705,1.39183,1.65052,0.80235,0.73231,0.81303,0.41888,1.77054,1.10615,1.82168,0.000657451,0.000657451,0.000657451
6,39.7725,1.65876,1.33699,1.59328,0.79718,0.70391,0.79151,0.39889,1.85277,1.10083,1.87507,0.000643314,0.000643314,0.000643314
7,46.3972,1.67851,1.28172,1.60581,0.78679,0.74284,0.81814,0.42014,1.79783,1.04721,1.83179,0.000629177,0.000629177,0.000629177
8,52.7051,1.68205,1.30023,1.59072,0.84189,0.72571,0.81212,0.42512,1.73905,1.0357,1.79496,0.00061504,0.00061504,0.00061504
9,59.0156,1.67351,1.28057,1.60385,0.81138,0.74709,0.83871,0.43196,1.75536,1.04877,1.81312,0.000600902,0.000600902,0.000600902
10,65.2923,1.65643,1.32838,1.61089,0.77231,0.74344,0.81591,0.43103,1.71291,1.08272,1.79635,0.000586765,0.000586765,0.000586765
11,71.6652,1.62079,1.21099,1.56691,0.78751,0.73226,0.82036,0.42893,1.73319,1.03179,1.79025,0.000572628,0.000572628,0.000572628
12,78.0371,1.63676,1.23046,1.57869,0.78011,0.79323,0.85198,0.44364,1.72351,0.96191,1.78709,0.000558491,0.000558491,0.000558491
13,84.4101,1.63006,1.21667,1.56432,0.81154,0.72077,0.8149,0.41815,1.77409,1.04878,1.8134,0.000544354,0.000544354,0.000544354
14,90.6876,1.63755,1.22161,1.568,0.78961,0.7404,0.81445,0.42885,1.71024,1.04413,1.78993,0.000530216,0.000530216,0.000530216
15,96.9323,1.63284,1.21133,1.58753,0.7951,0.7293,0.80762,0.42612,1.74268,1.02937,1.79902,0.000516079,0.000516079,0.000516079
16,103.201,1.61392,1.19899,1.55999,0.81237,0.79524,0.85902,0.44104,1.74708,0.95272,1.80625,0.000501942,0.000501942,0.000501942
17,109.484,1.61051,1.18124,1.55241,0.84609,0.70501,0.84356,0.44417,1.68135,0.95744,1.76138,0.000487805,0.000487805,0.000487805
18,115.759,1.63758,1.19243,1.55627,0.83849,0.77811,0.85655,0.44705,1.70965,0.92431,1.77299,0.000473668,0.000473668,0.000473668
19,122.021,1.57725,1.15686,1.52624,0.89738,0.73382,0.8561,0.43904,1.70688,0.94292,1.77522,0.00045953,0.00045953,0.00045953
20,128.306,1.59135,1.15622,1.53637,0.84642,0.79298,0.86375,0.44066,1.70341,0.96211,1.77652,0.000445393,0.000445393,0.000445393
21,134.587,1.59745,1.15013,1.54299,0.83966,0.77349,0.85588,0.45017,1.70683,0.94665,1.78334,0.000431256,0.000431256,0.000431256
22,140.867,1.59243,1.14501,1.53703,0.86786,0.75079,0.85476,0.4383,1.71107,0.96496,1.78048,0.000417119,0.000417119,0.000417119
23,147.129,1.55747,1.1177,1.51349,0.79459,0.79388,0.85893,0.45317,1.6899,0.9362,1.76738,0.000402982,0.000402982,0.000402982
24,153.412,1.56344,1.10963,1.53077,0.87694,0.80951,0.88088,0.45349,1.72469,0.91892,1.78539,0.000388844,0.000388844,0.000388844
25,159.701,1.56192,1.08721,1.51805,0.8939,0.7927,0.87695,0.44687,1.74054,0.89406,1.79582,0.000374707,0.000374707,0.000374707
26,165.984,1.58423,1.1043,1.53675,0.86821,0.7778,0.86988,0.44325,1.76427,0.90656,1.81018,0.00036057,0.00036057,0.00036057
27,172.235,1.54986,1.09032,1.51048,0.89021,0.811,0.8951,0.45599,1.71886,0.90841,1.78541,0.000346433,0.000346433,0.000346433
28,178.517,1.55189,1.08153,1.51286,0.85706,0.79854,0.87439,0.44795,1.72048,0.91986,1.78782,0.000332296,0.000332296,0.000332296
29,184.793,1.58304,1.09118,1.54612,0.87391,0.79354,0.87488,0.45052,1.73541,0.92461,1.79728,0.000318158,0.000318158,0.000318158
30,191.083,1.54549,1.06366,1.51828,0.83846,0.79289,0.87263,0.4426,1.76315,0.92382,1.80862,0.000304021,0.000304021,0.000304021
31,197.324,1.55374,1.08516,1.52757,0.83859,0.81863,0.86039,0.44499,1.74271,0.9183,1.79407,0.000289884,0.000289884,0.000289884
32,203.596,1.54258,1.05509,1.50303,0.86843,0.80569,0.87325,0.45341,1.73362,0.8898,1.78482,0.000275747,0.000275747,0.000275747
33,209.881,1.55454,1.06889,1.50253,0.8862,0.77388,0.8702,0.44687,1.74695,0.92123,1.79816,0.00026161,0.00026161,0.00026161
34,216.145,1.5095,1.06591,1.51286,0.87117,0.80465,0.87655,0.45847,1.73237,0.91178,1.79335,0.000247472,0.000247472,0.000247472
35,222.415,1.5278,1.04525,1.50829,0.85824,0.78604,0.87159,0.46242,1.71607,0.89005,1.77242,0.000233335,0.000233335,0.000233335
