epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7302,1.40592,1.96872,3.50874,0.94866,0,0.84849,0.05651,0.13499,0.08841,0.84849,0.05651,0.1329,0.07887,1.31092,1.82893,3.0034,0.94198,0,0.000275514,0.000275514,0.000275514
2,49.0656,1.29698,1.75375,2.26008,0.92593,0,0.35572,0.3173,0.19842,0.12455,0.34884,0.31828,0.1866,0.092,1.26565,1.84231,1.7598,0.96797,0,0.000542228,0.000542228,0.000542228
3,71.7656,1.28731,1.72549,2.01781,0.9318,0,0.57661,0.28779,0.20547,0.12684,0.57518,0.28451,0.19963,0.10623,1.2994,1.70298,1.64444,0.981,0,0.000797946,0.000797946,0.000797946
4,94.3367,1.27002,1.6764,1.83996,0.92202,0,0.36321,0.40821,0.2099,0.14156,0.36067,0.40278,0.20518,0.10694,1.19586,1.70291,1.58348,0.95567,0,0.00078352,0.00078352,0.00078352
5,117.292,1.21792,1.58676,1.72011,0.90969,0,0.56866,0.37129,0.21747,0.14748,0.56482,0.36371,0.21124,0.10986,1.19171,1.70817,1.62098,0.94523,0,0.000767026,0.000767026,0.000767026
6,139.995,1.19335,1.57734,1.61293,0.90636,0,0.45114,0.30674,0.23759,0.16234,0.44852,0.30018,0.23273,0.12443,1.17145,1.67245,1.555,0.94373,0,0.000750533,0.000750533,0.000750533
7,162.569,1.17376,1.55586,1.54878,0.89881,0,0.39895,0.40258,0.24406,0.16868,0.40246,0.39575,0.23648,0.13996,1.16362,1.63392,1.48049,0.92042,0,0.00073404,0.00073404,0.00073404
8,185.358,1.16724,1.48157,1.50224,0.8902,0,0.39056,0.37179,0.24544,0.16847,0.3963,0.35351,0.23725,0.12539,1.14668,1.55435,1.46323,0.92416,0,0.000717546,0.000717546,0.000717546
9,209.032,1.13763,1.49771,1.4641,0.88705,0,0.45587,0.32757,0.25694,0.17532,0.45445,0.32209,0.24781,0.13391,1.16218,1.57934,1.56186,0.93375,0,0.000701053,0.000701053,0.000701053
10,231.942,1.11813,1.48326,1.43122,0.89334,0,0.47468,0.29956,0.28272,0.19599,0.46347,0.2869,0.26667,0.14591,1.12007,1.52177,1.42077,0.9232,0,0.000684559,0.000684559,0.000684559
11,254.719,1.1194,1.44821,1.41754,0.88369,0,0.60944,0.32585,0.2667,0.1834,0.6135,0.31739,0.25946,0.14148,1.11619,1.5126,1.52963,0.9047,0,0.000668066,0.000668066,0.000668066
12,278.487,1.12899,1.46567,1.42034,0.8829,0,0.37872,0.40865,0.26659,0.18357,0.37792,0.38528,0.25398,0.13646,1.13328,1.53349,1.44688,0.91272,0,0.000651573,0.000651573,0.000651573
13,301.113,1.08886,1.41897,1.36209,0.87823,0,0.48979,0.328,0.30839,0.21328,0.49135,0.31933,0.29525,0.1697,1.10415,1.43104,1.33473,0.90033,0,0.000635079,0.000635079,0.000635079
14,323.883,1.09563,1.41114,1.31975,0.87672,0,0.64817,0.32989,0.27354,0.19241,0.64538,0.32552,0.26804,0.1409,1.09704,1.46938,1.34913,0.90295,0,0.000618586,0.000618586,0.000618586
15,347.747,1.07118,1.375,1.29766,0.87082,0,0.46097,0.39113,0.29593,0.21253,0.65129,0.3271,0.28489,0.15442,1.0591,1.53145,1.33542,0.90177,0,0.000602092,0.000602092,0.000602092
16,371.296,1.07516,1.39087,1.30468,0.87885,0,0.59989,0.30466,0.32812,0.23418,0.59818,0.30028,0.31891,0.18578,1.0873,1.50059,1.31067,0.91166,0,0.000585599,0.000585599,0.000585599
17,394.209,1.05099,1.3517,1.27756,0.86977,0,0.60704,0.40579,0.32091,0.22686,0.60202,0.39712,0.30856,0.17097,1.07825,1.51825,1.30057,0.90101,0,0.000569106,0.000569106,0.000569106
18,417.303,1.06604,1.36654,1.27604,0.87167,0,0.64781,0.32386,0.34125,0.25074,0.63861,0.3141,0.32576,0.18195,1.02705,1.44032,1.25914,0.88712,0,0.000552612,0.000552612,0.000552612
19,439.861,1.04345,1.34471,1.25504,0.86908,0,0.53246,0.35053,0.34283,0.24936,0.6205,0.3104,0.3296,0.18516,1.04083,1.42021,1.25097,0.89434,0,0.000536119,0.000536119,0.000536119
20,462.639,1.02954,1.35485,1.22064,0.86366,0,0.54906,0.38786,0.34198,0.24487,0.54661,0.37734,0.33271,0.18461,1.05591,1.38521,1.26348,0.89234,0,0.000519625,0.000519625,0.000519625
21,486.105,1.0428,1.35641,1.2197,0.87079,0,0.5395,0.33651,0.33114,0.23839,0.56754,0.32141,0.32314,0.19185,1.02185,1.44965,1.37015,0.88332,0,0.000503132,0.000503132,0.000503132
22,509.474,1.02461,1.32324,1.20632,0.85995,0,0.49623,0.3822,0.33983,0.24257,0.60702,0.29602,0.32612,0.18497,1.05721,1.4053,1.27547,0.88147,0,0.000486639,0.000486639,0.000486639
23,532.238,1.03279,1.33179,1.19111,0.86569,0,0.5493,0.35578,0.36399,0.26416,0.55207,0.34875,0.35382,0.19384,1.03632,1.38818,1.21603,0.88518,0,0.000470145,0.000470145,0.000470145
24,555.123,1.02029,1.3223,1.17884,0.8594,0,0.66108,0.33107,0.36494,0.26817,0.64624,0.32281,0.3505,0.21005,1.03737,1.35614,1.23304,0.88045,0,0.000453652,0.000453652,0.000453652
25,578.517,1.00812,1.28464,1.15215,0.85927,0,0.60612,0.32548,0.38552,0.28916,0.60277,0.31964,0.37159,0.22483,1.00585,1.34759,1.2598,0.88231,0,0.000437158,0.000437158,0.000437158
26,601.469,1.00829,1.3069,1.13329,0.86089,0,0.54134,0.37846,0.37275,0.27735,0.54893,0.36883,0.35885,0.21469,1.02582,1.35051,1.20915,0.88349,0,0.000420665,0.000420665,0.000420665
27,624.085,0.99218,1.27322,1.13865,0.86037,0,0.61506,0.309,0.37888,0.27573,0.61382,0.30791,0.37229,0.20865,0.98631,1.35953,1.15932,0.87699,0,0.000404172,0.000404172,0.000404172
28,646.361,0.99714,1.26483,1.1186,0.85328,0,0.60062,0.34879,0.3802,0.27579,0.59329,0.34161,0.36401,0.20709,0.99486,1.35356,1.18686,0.87387,0,0.000387678,0.000387678,0.000387678
29,668.618,0.99219,1.26327,1.09776,0.85689,0,0.56708,0.36687,0.38952,0.29271,0.5703,0.36468,0.37682,0.21748,0.9795,1.32923,1.18363,0.87815,0,0.000371185,0.000371185,0.000371185
30,690.912,0.98216,1.26408,1.08949,0.85455,0,0.60239,0.37531,0.39786,0.29393,0.59876,0.37207,0.38678,0.22652,0.99283,1.36845,1.18095,0.87598,0,0.000354691,0.000354691,0.000354691
31,713.213,0.97664,1.27135,1.08918,0.85336,0,0.59143,0.35519,0.38953,0.29188,0.60389,0.33688,0.37759,0.21653,0.96729,1.31312,1.17794,0.87156,0,0.000338198,0.000338198,0.000338198
32,735.517,0.96631,1.21922,1.06215,0.85339,0,0.61794,0.3563,0.40181,0.29681,0.60931,0.3438,0.38239,0.21788,0.97731,1.36269,1.19097,0.87167,0,0.000321705,0.000321705,0.000321705
33,757.787,0.95788,1.25497,1.04946,0.84652,0,0.53766,0.43182,0.38344,0.27836,0.52998,0.42219,0.36577,0.20815,0.96592,1.30763,1.14166,0.86715,0,0.000305211,0.000305211,0.000305211
